ranking,ISBN,description,author,avg_rating,title,num_ratings,score,awards,voted,year,pages
835,9780920236161,"The Princess Elizabeth is slated to marry Prince Ronald when a dragon attacks the castle and kidnaps Ronald. In resourceful and humorous fashion, Elizabeth finds the dragon, outsmarts him, and rescues Ronald--who is less than pleased at her un-princess-like appearance. Full color.",Robert Munsch,4.32,The Paper Bag Princess,"41,718","1,235",None,19,1980,32
828,9781407247427," - ,In the overcrowded world and cramped space colonies of the late 21st century, tedium can be endured through the drug Can-D, which enables users to inhabit a shared illusory world. When industrialist Palmer Eldritch returns from an interstellar trip, he brings with him a new drug, Chew-",Philip K. Dick,4.01,The Three Stigmata of Palmer Eldritch,"24,822","1,260",Nebula Award Nominee for Best Novel (1965),19,1965,231
1580,9780413771162,"There's been a murder. Allegedly. William de Worde is the Discworld's first investigative journalist. He didn't mean to be - it was just an accident. But, as William fills his pages with reports of local club meetings and pictures of humorously shaped vegetables, dark forces high up in Ankh-Morpork's society are plotting to overthrow the city's ruler, Lord Vetinari.",Terry Pratchett,4.26,"The Truth (Discworld, #25; Industrial Revolution, #2)","44,531",331,None,5,2000,336
1578,9780886773687,"Felix is an Earth soldier, encased in special body armor designed to withstand Earth's most implacable enemy-a bioengineered, insectoid alien horde. But Felix is also equipped with internal mechanisms that enable him, and his fellow soldiers, to survive battle situations that wo",John Steakley,4.12,Armor,"14,656",332,None,4,1984,426
1580,9780945774105,"This legendary but previously hard-to-get novel is a hilarious dystopian satire about the choice between ecological catastrophe and making your quarterly financial goals. As both a commentary on capitalism and the rise of fascism, as well as an early wor",Karel Čapek,4.17,War with the Newts,"7,021",331,None,6,1935,241
1573,9780061177590,"Low-life writer and unrepentant alcoholic Henry Chinaski was born to survive. After decades of slacking off at low-paying dead-end jobs, blowing his cash on booze and women, and scrimping by in flea-bitten apartments, Chinaski sees his poetic star rising at last. Now, at fifty, he is reveling in his sudden rock-star life, runn",Charles Bukowski,3.89,Women,"48,795",334,None,5,1978,291
1577,9780224017671,"This is the first volume in the series of novels Doris Lessing calls collectively ,. Presented as a compilation of documents, reports, letters, speeches and journal entries, this purports to be a general study of the planet Shikasta, clearly the planet Earth, to be used by history students of the higher planet Canopus and to be stored in the Canopi",Doris Lessing,3.73,"Re: Colonised Planet 5, Shikasta","1,763",333,None,6,1979,365
1584,9780345423405,"My name is Meredith 'Merry' Gentry, but of course it's not my real name. I dare not even whisper my true name after dark for fear that one hushed word will travel over the night winds to the soft ear of my aunt, the Queen of Air and Darkness. She wants me dead. I don't even know why.,I fled the high court of Faerie three years ago and have been in hiding ever since. As Merr",Laurell K. Hamilton,4.01,"A Kiss of Shadows (Merry Gentry, #1)","48,060",329,None,5,2000,468
1580,9780385334563,"The stark grief of a brother mourning a brother opens this novel with a stunning, unforgettable experience.  Here, in a monumental saga of love and rage, Baldwin goes back to Harlem, to the church of his groundbreaking novel ,, to the homosexual passion of ,, and to the political fire that enflames his nonfiction work.  Here, too, the",James Baldwin,4.36,Just Above My Head,"1,313",331,National Book Award Finalist for Fiction (Hardcover) (1980),5,1978,592
1583,9780452287051,"Greenville County, South Carolina, is a wild, lush place that is home to the Boatwright family-a tight-knit clan of rough-hewn, hard- drinking men who shoot up each other's trucks, and indomitable women who get married young and age too quickly. At the heart of this story is Ruth Anne Boatwright, known simply as Bone, a bastard child who observes the world around her with",Dorothy Allison,4.09,Bastard Out of Carolina,"33,591",330,"Ferro-Grumley Award for Lesbian Fiction (1993),National Book Award Finalist for Fiction (1992)",5,1992,320
1398,9780571225392,"Ryder, a renowned pianist, arrives in a Central European city he cannot identify for a concert he cannot remember agreeing to give. But then as he traverses a landscape by turns eerie and comical – and always strangely malleable, as a dream might be - he comes steadily to realise he is facing the most crucial performance of his life.,Ishiguro's extraordinary and original st",Kazuo Ishiguro,3.51,The Unconsoled,"7,526",408,"Whitbread Award Nominee for Novel (1995),Cheltenham Prize for Literature (1995)",5,1995,535
1398,9780374518172,"Elizabeth Bishop was vehement about her art--a perfectionist who didn't want to be seen as a ""woman poet."" In 1977, two years before her death she wrote, ""art is art and to separate writings, paintings, musical compositions, etc., into two sexes is to emphasize values in them that are , art."" She also deeply distrusted the dominant mode of modern poetry, one practiced wi",Elizabeth Bishop,4.19,The Complete Poems 1927-1979,"10,413",408,None,5,1980,287
1398,,"""In the Penal Colony"" is a short story by Franz Kafka written in German in October 1914, and first published in October 1919.,The story is set in an unnamed penal colony. It describes the last use of an elaborate torture and execution device that carves the sentence of the condemned prisoner on his skin in a script before letting him die, all in the course of twelve hours.",Franz Kafka,3.99,In the Penal Colony,"12,101",408,None,4,1919,52
999,9780312954468,"For Tanus, the fair-haired young lion of a warrior, the gods have decreed that he will lead Egypt's army in a bold attempt to reunite the Kingdom's shared halves. But Tanus will have to defy the same gods to attain the reward they have forbidden him, an object more prized than battle's glory: possession of the Lady Lostris, a rare beauty with skin the color of oiled ceder-",Wilbur Smith,4.20,"River God (Ancient Egypt, #1)","28,485",858,None,12,1993,664
1795,9780451199904,"A man is shot at in a juvenile reform home – but someone else dies…,Miss Marple senses danger when she visits a friend living in a Victorian mansion which doubles as a rehabilitation centre for delinquents. Her fears are confirmed when a youth fires a revolver at the administrator, Lewis Serrocold. Neither is injured. But a mysterious visitor, Mr Gilbrandsen, is less fortun",Agatha Christie,3.74,"They Do It with Mirrors (Miss Marple, #6)","17,151",264,None,3,1952,224
1787,9780380794560," ,When Devil, the most infamous member of the Cynster family, is caught in a compromising position with plucky governess Honoria Wetherby, he astonishes the entire town by offering his hand in marriage. No one dreamed this scandalous rake would ever take a bride. And as society mamas swooned at the loss of Engla",Stephanie Laurens,4.10,"Devil's Bride (Cynster, #1)","15,460",265,All About Romance (AAR) Annual Reader Poll for Favorite European Historical Romance (1999),3,1998,388
1800,9780441005666,2043 A.D.: The Ngumi War rages. A burned-out soldier and his scientist lover discover a secret that could put the universe back to square one. And it is not terrifying. It is tempting...,Joe Haldeman,3.73,"Forever Peace (The Forever War, #2)","15,316",263,"Hugo Award for Best Novel (1998),Nebula Award for Best Novel (1998),Locus Award Nominee for Best Science Fiction Novel (1998),John W. Campbell Memorial Award for Best Science Fiction Novel (1998)",3,1997,351
1795,9780590431972,"This spooky addition to Alvin Schwartz's popular books on American folklore is filled with tales of eerie horror and dark revenge that will make you jump with fright.,There is a story here for everyone -- skeletons with torn and tangled flesh who roam the earth; a ghost who takes revenge on her murderer; and a haunted house where every night a bloody head falls down the chi",Alvin Schwartz,4.06,"Scary Stories to Tell in the Dark (Scary Stories, #1)","41,884",264,Grand Canyon Reader Award (1987),4,1981,112
1795,9781600963773,"A recipe for happiness: four women, one medieval Italian castle, plenty of wisteria, and solitude as needed.,The women at the center of , are alike only in their dissatisfaction with their everyday lives. They find each other—and the castle of their dreams—through a classified ad in a London newspaper one rainy February afternoon. The ladies expect a pleas",Elizabeth von Arnim,3.97,The Enchanted April,"11,478",264,None,4,1922,232
1795,9780440228004,"The Newbery Honor-winning American classic, ,, celebrates 20 years with this anniversary edition featuring a special letter from Christopher Paul Curtis and an introduction by noted educator Dr. Pauletta Bracy., Enter the hilarious world of ten-year-old Kenny and his family, the Weird Watsons of Flint, Michigan. There's Momma, Dad, little",Christopher Paul Curtis,3.95,The Watsons Go to Birmingham - 1963,"48,735",264,"Newbery Honor (1996),Jane Addams Children's Book Award Nominee for Older Children (1996),Rebecca Caudill Young Reader's Book Award Nominee (1998),Dorothy Canfield Fisher Children's Book Award Nominee (1997),Coretta Scott King Award for Author Honor (1996)",3,1995,224
1787,9780553293388,"At last, the costly and bitter war between the two Foundations had come to an end. The scientists of the First Foundation had proved victorious; and now they retum to Hari Seldon's long-established plan to build a new Empire that the Second Foundation is not destroyed after all-and that its still-defiant survivors are preparing their revenge. Now the two exiled citizens of",Isaac Asimov,4.09,Foundation's Edge (Foundation #4),"55,007",265,"Hugo Award for Best Novel (1983),Nebula Award Nominee for Best Novel (1982),Locus Award for Best Science Fiction Novel (1983)",6,1982,450
1787,9780743271325,"Annie Proulx has written some of the most original and brilliant short stories in contemporary literature, and for many readers and reviewers, ""Brokeback Mountain"" is her masterpiece. ",Annie Proulx,3.93,Brokeback Mountain,"23,408",265,O. Henry Award (1998),3,1997,55
1787,9780751504576,"A fantasy of heroic adventure, set in the kingdom of Delain. It involves a king who is poisoned, a young and beautiful queen, a prince locked in a high tower while his younger brother assumes the throne, and an evil magician who harbours terrible secrets and malevolent plans.",Stephen King,3.93,The Eyes of the Dragon,"84,835",265,None,5,1987,427
1573,9780007136858,"Six people reunite to remember beautiful Rosemary Barton, who died nearly a year before. The loving sister, the long-suffering husband, the devoted secretary, the lovers, the betrayed wife - none of them can forget Rosemary. ,But did one of them murder her? ,Titled in America 'Remembered Death'.",Agatha Christie,3.85,"Sparkling Cyanide  (Colonel Race, #4)","13,260",334,None,5,1944,336
1578,9780446698221,None,Hunter S. Thompson,4.11,Fear and Loathing on the Campaign Trail '72,"17,141",332,None,5,1973,481
1787,9781573225052,"With the publication of , in 1957, Jack Kerouac became at once the spokesman and hero of the Beat Generation. Along with such visionaries as William S. Burroughs, Neal Cassady, and Allen Ginsberg, Kerouac changed the face of American literature, igniting a counterculture revolution that even now, decades later, burns brighter than ever in ,.,In one",Jack Kerouac,3.92,Desolation Angels,"9,432",265,None,4,1958,432
1787,9780156010863,"A modern-day Confessions of Saint Augustine, The Seven Storey Mountain is one of the most influential religious works of the twentieth century. This edition contains an introduction by Merton's editor, Robert Giroux, and a note to the reader by biographer William H. Shannon. It tells of the growing restlessness of a brilliant and passionate young man whose search for peace",Thomas Merton,4.16,The Seven Storey Mountain,"10,669",265,None,4,1948,467
1783,9780425173909,"Hercule Poirot is called on to investigate the murder of a brother and sister in this classic from the Queen of Mystery.,When Cora Lansquenet is savagely murdered, the odd remark she made the day before at her brother's funeral becomes chillingly important: ""It's been hushed up very nicely, hasn't it. . . . But he was murdered, wasn't he?"",Desperate to learn more about both",Agatha Christie,3.84,"After the Funeral (Hercule Poirot, #31)","17,881",266,None,3,1953,256
1787,9780060652388,"Written with love, humility, and faith, this brief but poignant volume was first published in 1961 and concerns the death of C. S. Lewis's wife, the American-born poet Joy Davidman. In her introduction to this new edition, Madeleine L'Engle writes: ""I am grateful to Lewis for having the courage to yell, to doubt, to kick at God in angry violence. This is a part of a health",C.S. Lewis,4.24,A Grief Observed,"40,985",265,None,4,1961,112
1783,9780451188465,"There's a place along Interstate 50 that some call the loneliest place on Earth. It's known as Desperation, Nevada.,It's not a very nice place to live. It's an even worse place to die.,Let the battle against evil begin.,Welcome to ... Desperation",Stephen King,3.80,Desperation,"102,726",266,Locus Award for Best Dark Fantasy/Horror Novel (1997),6,1996,547
1783,9780714503110,'Jealousy' tells of a jealous husband whose suspicion of his wife and neighbors takes possession of his mind.,Alain Robbe-Grillet,3.64,Jealousy,"1,728",266,Βραβείο Λογοτεχνικής Μετάφρασης ΕΚΕΜΕΛ for Γαλλόφωνη Λογοτεχνία (2007),4,1957,103
1775,9780802135780,"In a fantastic world that is and is not seventeenth-century England, a baby is found floating in the Thames. The child, Jordan, is rescued by Dog Woman and grows up to travel the world like Gulliver, though he finds that the world’s most curious oddities come from his own mind. Winterson leads the reader from discussions on the nature of time to Jordan’s fascination with j",Jeanette Winterson,3.83,Sexing the Cherry,"12,490",268,None,5,1989,167
1573,9780345484406,"From the 1930s through the race riots of 1967, the members of the Wendall family, living in inner-city Detroit, struggle to understand the obscure forces constantly tearing at their lives and happiness. Winner of the National Book Award.,'When Miss Oates' potent, lifegripping imagination and her skill at narrative are conjoined, as they are pre-eminently in THEM, she is a p",Joyce Carol Oates,3.71,"Them (Wonderland Quartet, #3)","2,615",334,National Book Award for Fiction (1970),7,1969,576
1699,9780691019680,"Popper was born in 1902 to a Viennese family of Jewish origin. He taught in Austria until 1937, when he emigrated to New Zealand in anticipation of the Nazi annexation of Austria the following year, and he settled in England in 1949. Before the annexation, Popper had written mainly about the philosophy of science, but from 1938 until the end of the Second World War he focu",Karl R. Popper,4.11,The Open Society and Its Enemies - Volume One: The Spell of Plato,"1,883",288,None,4,1945,376
1699,9780099268802,"When fourteen children from the small town of Sam Dent are lost in a tragic accident, its citizens are confronted with one of life’s most difficult and disturbing questions: When the worst happens, whom do you blame, and how do you cope? Masterfully written, it is a large-hearted novel that brings to life a cast of unforgettable small-town characters and illuminates the my",Russell Banks,3.84,The Sweet Hereafter,"7,390",288,None,3,1991,416
1795,9780002316590,"Mrs. McGinty is dead and everyone suspects James Bentley, her slightly shifty lodger, but Superintendent Spence is suspicious enough to ask for Hercule Poirot's assistance. Soon, the seemingly simple situation turns into a complex web of lies and hidden identities. Unabridged. 5 CDs.",Agatha Christie,3.81,Mrs. McGinty's Dead,"14,031",264,None,4,1952,240
999,9780753809259,"It is a dream of electrifying eroticism and inexplicable violence, recounted by a young woman to her analyst, Sigmund Freud. It is a horrifying yet restrained narrative of the Holocaust. It is a searing vision of the wounds of our century, and an attempt to heal them. Interweaving poetry and case history, fantasy and historical truth-telling, , is a modern cl",D.M. Thomas,3.84,The White Hotel,"3,494",858,"Man Booker Prize Nominee (1981),World Fantasy Award Nominee for Best Novel (1982),Los Angeles Times Book Prize for Fiction (1981),Cheltenham Prize for Literature (1981)",12,1981,240
1696,9780060085490,"In ,, his last novel, Huxley transports us to a Pacific island where, for 120 years, an ideal society has flourished. Inevitably, this island of bliss attracts the envy and enmity of the surrounding world. A conspiracy is underway to take over Pala, and events begin to move when an agent of the conspirators, a newspaperman named Faranby, is shipwrecked there. What Far",Aldous Huxley,3.87,Island,"17,841",290,None,3,1962,354
1775,9781883689162,Fiction. Nonfiction. Real contains letters between Dodie Bellamy (Mina Harker) and Sam D'Allesandro; the transcription of a story that was taped by D'Allesandro before he died in 1988; and a letter by Bellamy that concerns D'Allesandro's death.,Dodie Bellamy,4.31,Real: The Letters of Mina Harker and Sam D'Allesandro,,268,None,3,1994,115
1787,9780140022292,"In the 21st century, fluctuations in solar radiation have caused the ice-caps to melt and the seas to rise. Global temperatures have climbed, and civilization has retreated to the Arctic and Antarctic circles. London is a city now inundated by a primeval swamp, to which an expedition travels to record the flora and fauna of this new Triassic Age. ",J.G. Ballard,3.55,The Drowned World,"9,561",265,None,5,1962,171
1691,9780425166802,"Erich von Daniken's Chariots of the Gods is a work of monumental importance--the first book to introduce the shocking theory that ancient Earth had been visited by aliens. This world-famous bestseller has withstood the test of time, inspiring countless books and films, including the author's own popular sequel, ,. But here is where it all began--von Da",Erich von Däniken,3.48,Chariots of The Gods,"9,887",291,None,5,1968,220
1691,9780028610108, ,Mark Bittman,4.01,How to Cook Everything: Simple Recipes for Great Food,"59,994",291,None,4,1998,960
1691,9780156792011,"In the classic text ,, famed historian of religion Mircea Eliade observes that even moderns who proclaim themselves residents of a completely profane world are still unconsciously nourished by the memory of the sacred. Eliade traces manifestations of the sacred from primitive to modern times in terms of space, time, nature, and the cosmos. In doing",Mircea Eliade,4.09,The Sacred and the Profane: The Nature of Religion,"5,311",291,None,5,1957,256
1691,9780812967258,"It's London, 1907. Journalist Edward Malone, rejected by the woman he loves because he is too prosaic, decides to go in search of adventure and fame to prove himself worthy of her. Soon after, he meets Professor George Challenger, a scientist who claims to have discovered a 'lost world' populated by pterodactyls and other prehistoric monsters.",Arthur Conan Doyle,3.92,"The Lost World (Professor Challenger, #1)","46,352",291,None,5,1912,272
1775,9781560254553,"Forbidding peaks, resourceful commandos, beautiful spies, nonstop action, and neck-snapping plot twists make this the classic adventure thriller—the kind of page-turner that readers actually will find impossible to put down. A team of British Special Forces commandos parachutes into the high peaks of the Austrian Alps with the mission of stealing into an invulnerable alpin",Alistair MacLean,4.12,Where Eagles Dare,"37,606",268,None,3,1967,320
1691,9780425181607,"The author whose boundless imagination & storytelling powers have redefined the horror genre, from 1974's Carrie to his newest epic, reflects on the very nature of terror--what scares us & why--in films (both cheesy & choice), tv & radio, &, of course, the horror novel, past & present. Informal, engaging, tremendous fun & tremendously informativ",Stephen King,3.63,Danse Macabre,"21,595",291,"Hugo Award for Best Non-Fiction Book (1982),Locus Award for Best Related Non-fiction (1982)",5,1981,400
1782,9781400077267,"A fascinating look inside the mind of a man who is supposedly “mad.” Professor Charles Watkins of Cambridge University is a patient at a mental hospital where the doctors try with increasing drugs to bring his mind under control. But Watkins has embarked on a tremendous psychological adventure where, after spinning endlessly on a raft in the Atlantic, he lands on a tropica",Doris Lessing,3.72,Briefing for a Descent Into Hell,"1,498",267,Man Booker Prize Nominee (1971),3,1971,278
1775,9780140241174," is the story of the great flood and the first time the world ended, filed with an extraordinary cast of remarkable characters. With pathos and pageantry, desperation and hope, magic and mythology, this acclaimed novel weaves its unforgettable spell.",Timothy Findley,3.99,Not Wanted On The Voyage,"5,716",268,Canadian Authors Association Award for Fiction (1985),4,1984,352
1775,9780679767954,"Is it possible to write a sidesplitting novel about the breakup of the perfect marriage? If the writer is Nora Ephron, the answer is a resounding yes. For in this inspired confection of adultery, revenge, group therapy, and pot roast, the creator of , reminds us that comedy depends on anguish as surely as a proper gravy depends on flour and butter.,Seven",Nora Ephron,3.57,Heartburn,"15,900",268,None,4,1983,179
1775,9780723247777,"The Tale of Tom Kitten is set in the cottage garden Beatrix created herself at Hill Top, the farm she owned near the village of Sawrey. Tom and his sisters look so smart in their new clothes. When their mother sends them outside while she waits for her visitors, she couldn't possibly guess what kind of mess they are going to get themselves into!,The Tale of Tom Kitten is nu",Beatrix Potter,4.09,The Tale of Tom Kitten,"7,305",268,None,5,1907,58
1783,9780689878572,"""I'm not sure I want to be a hero anymore."" , Having achieved her dream of becoming the first female knight errant, Alanna of Trebond is not sure what to do next. Perhaps being a knight errant is not all that Alanna needs....But Alanna must push her uncertainty aside when a new challenge arises. She must recover the Dominion Jewel, a legendary gem with enormous power for go",Tamora Pierce,4.29,"Lioness Rampant (Song of the Lioness, #4)","70,269",266,None,4,1988,384
1771,9781569714980,"The science fiction tale set in 2019 in Tokyo after the city was destroyed by World War III, follows the lives of two teenage friends, Tetsuo and Kaneda, who have a consuming fear of a monstrous power known as Akira.",Katsuhiro Otomo,4.36,"Akira, Vol. 1","17,851",270,Kodansha Manga Award for General Manga (1984),3,1984,359
1771,9780393312768,"Which of these bizarre phenomena, if any, can really exist in our universe? Black holes, down",Kip S. Thorne,4.16,Black Holes & Time Warps: Einstein's Outrageous Legacy,"8,569",270,None,3,1994,624
1696,9780571175499,"In an isolated community in the Peruvian Andes, a series of mysterious disappearances has occurred. Army corporal Lituma and his deputy Tom�s believe the Shining Path guerrillas are responsible, but the townspeople have their own ideas about the forces that claimed the bodies of the missing men. This riveting novel is filled with unforgettable characters, among them disenf",Mario Vargas Llosa,3.68,Death in the Andes,"4,727",290,"Premio Planeta (1993),Premio San Clemente for Novela Castelá (1995)",4,1993,322
1689,9780060751579,"Written with compassionate realism and wit, the stories in this mesmerizing collection depict the disparities of town and village life in South America, of the frightfully poor and the outrageously rich, of memories and illusions, and of lost opportunities and present joys.",Gabriel García Márquez,3.86,No One Writes to the Colonel and Other Stories,"11,268",292,None,5,1961,170
1686,9781400043330,"(Book Jacket Status: Jacketed) ,Gabriel Garcia Marquez s most political novel is the tragic story of General Simon Bolivar, the man who tried to unite a continent. ,Bolivar, known in six Latin American countries as the Liberator, is one of the most revered heroes of the western hemisphere; in Garcia Marquez s brilliant reimagining he is magnificently flawed as well. The nove",Gabriel García Márquez,3.67,The General in His Labyrinth,"14,047",293,None,4,1989,248
1775,9780729300148,A guide to Julio Cortázar's classic Rayuela.,Robert Brody,4.40,Julio Cortázar: Rayuela,"4,396",268,None,3,1976,85
1771,9781862071056," is the story of an empire: the constellation of states that was submerged under a single identity for most of the twentieth century - the Union of Soviet Socialist Republics. This is Kapuscinski's vivid, compelling and personal report on the life and death of the Soviet superpower, from the entrance of Soviet troops into his hometown in Poland in 1939, through his",Ryszard Kapuściński,4.34,Imperium,"3,551",270,Leipzig Book Award for European Understanding (1994),3,1992,352
1696,9780151189786,"There is no more authoritative collection of the poetry that Eliot himself wished to preserve than this volume, published two years before his death in 1965.,Poet, dramatist, critic, and editor, T. S. Eliot was one of the defining figures of twentieth-century poetry. This edition of Collected Poems 1909-1962 includes his verse from Prufrock and Other Observations (1917) to",T.S. Eliot,4.29,"Collected Poems, 1909-1962","18,102",290,None,6,1963,240
1686,9780552152945,People might say that reality is a quality that things possess in the same way that they possess weight. Sadly alchemists never really held with such a quaint notion. They think that,Terry Pratchett,3.92,"Moving Pictures (Discworld, #10; Industrial Revolution, #1)","52,724",293,None,5,1990,396
1689,9780679766520,"Edwin Mullhouse, a novelist at 10, is mysteriously dead at 11. As a memorial, Edwin's bestfriend, Jeffrey Cartwright, decides that the life of this great American writer must be told. He follows Edwin's development from his preverbal first noises through his love for comic books to the fulfillment of his literary genius in the remarkable novel, ,.",Steven Millhauser,4.06,Edwin Mullhouse: The Life and Death of an American Writer 1943-1954 by Jeffrey Cartwright,,292,Prix Médicis Etranger (1975),3,1972,305
1686,,"Centuries in the future, Terrans have established a logging colony & military base named ""New Tahiti"" on a tree-covered planet whose small, green-furred, big-eyed inhabitants have a culture centered on lucid dreaming. Terran greed spirals around native innocence & wisdom, overturning the ancient society.,Humans have learned interstellar travel from the Hainish (the",Ursula K. Le Guin,3.91,The Word for World is Forest,"9,826",293,"Hugo Award for Best Novella (1973),Nebula Award Nominee for Best Novella (1972),Locus Award Nominee for Best Novella (1973)",4,1972,160
1685,9780802130143,"The Thief's Journal is perhaps Jean Genet's most authentically autobiographical novel, personifying his quest for spiritual glory through the pursuit of evil. Writing in the intensely lyrical prose style that is his trademark, the man Jean Cocteau dubbed France's ""Black Prince of Letters"" here reconstructs his early adult years - time he spent as a petty criminal and vagab",Jean Genet,3.99,The Thief's Journal,"2,634",294,None,4,1949,268
1681,9780543895141,None,L. Frank Baum,3.96,"Ozma of Oz (Oz, #3)","17,750",296,None,4,1907,126
1763,9781570626098,"In this engaging commentary, the distinguished analyst and author Marie-Louise von Franz shows how the Feminine reveals itself in fairy tales of German, Russian, Scandinavian, and Eskimo origin, including familiar stories such as ""Sleeping Beauty,"" ""Snow White and Rose Red,"" and ""Rumpelstiltskin."" Some tales, she points out, offer insights into the psychology of women, whi",Marie-Louise von Franz,4.23,The Feminine in Fairy Tales,,271,None,3,1972,240
1681,9780767903868,"Every time Bill Bryson walks out the door, memorable travel literature threatens to break out. His previous excursion along the Appalachian Trail resulted in the sublime national bestseller ,. , is his report on what he found in an entirely different place: Australia,",Bill Bryson,4.05,In a Sunburned Country,"70,598",296,"Puddly Award for Travel Writing (2001),Thurber Prize Nominee for American Humor (2001)",4,2000,335
1763,9780375703829,"When an epidemic threatens to destroy the silk trade in France, the young merchant Herve Joncour leaves his doting wife and his comfortable home in the small town of Lavilledieu and travels across Siberia to the other end of the world, to Japan, to obtain eggs for a fresh breeding of silk worms. It is the 1860s; Japan is closed to foreigners and this has to be a clandestin",Alessandro Baricco,3.83,Silk,"25,854",271,Prix des libraires du Québec for Lauréats hors Québec (1998),3,1996,91
1763,9780802150660,“It is one thing to be informed by Shakespeare that life “is a tale told by an idiot signifying nothing”; it is something else to encounter the idea literally presented in a novel by Samuel Beckett. But I am reasonably certain that a sensitive reader who journeys through How It Is will leave the book convinced that Beckett says more that is relevant to experience in our ti,Samuel Beckett,4.05,How it Is,,271,None,3,1961,111
1763,9780142000700," In September 1960, John Steinbeck embarked on a journey across America. He felt that he might have lost touch with the country, with its speech, the smell of its grass and trees, its color and quality of light, the pulse of its people. To reassure",John Steinbeck,4.07,Travels with Charley: In Search of America,"54,592",271,None,5,1962,214
